FIPS,State,County,Infant Motality Rate,% Limited Access to Healthy Foods,% Disconnected Youth,Average Grade Performance in Reading Scores,Average Grade Performance in Math Scores,% Enrolled in Free or Reduced Lunch,Juvenile Arrest Rate,% Broadband Acess,County Rank
17043,Illinois,DuPage,4,3,3,3,3,27,6,92,1
17111,Illinois,McHenry,4,6,5,3,3,27,5,94,2
17097,Illinois,Lake,4,6,5,3,3,32,8,92,3
17089,Illinois,Kane,5,4,5,3,3,42,5,89,4
17195,Illinois,Whiteside,5,6,6,3,3,50,7,82,5
17093,Illinois,Kendall,5,6,7,3,3,26,9,92,6
17063,Illinois,Grundy,5,6,8,3,3,24,11,88,7
17179,Illinois,Tazewell,5,9,6,3,3,36,4,85,8
17031,Illinois,Cook,6,2,7,3,3,61,8,85,9
17001,Illinois,Adams,6,3,7,3,3,52,8,81,10
17141,Illinois,Ogle,6,4,13,3,3,35,4,83,11
17197,Illinois,Will,6,7,6,3,3,37,5,91,12
17113,Illinois,McLean,6,9,3,3,3,36,14,85,13
17095,Illinois,Knox,6,9,6,3,3,56,18,75,14
17073,Illinois,Henry,6,9,8,3,3,42,9,79,15
17029,Illinois,Coles,6,10,8,3,3,54,0,81,16
17037,Illinois,DeKalb,6,15,4,3,3,40,15,89,17
17071,Illinois,Henderson,7,0,8,3,2,57,8,80,18
17155,Illinois,Putnam,7,0,8,3,3,35,0,83,19
17035,Illinois,Cumberland,7,0,8,3,3,44,10,80,20
17139,Illinois,Moultrie,7,1,8,3,3,48,8,77,21
17061,Illinois,Greene,7,1,8,3,3,58,11,77,22
17147,Illinois,Piatt,7,2,8,3,3,31,8,84,23
17129,Illinois,Menard,7,2,8,3,3,35,10,84,24
17033,Illinois,Crawford,7,2,8,3,3,44,14,82,25
17039,Illinois,De Witt,7,2,8,3,3,48,0,82,26
17021,Illinois,Christian,7,2,8,3,3,49,11,79,27
17193,Illinois,White,7,2,8,3,3,56,42,78,28
17087,Illinois,Johnson,7,3,8,3,3,50,10,74,29
17065,Illinois,Hamilton,7,3,8,3,3,50,11,71,30
17159,Illinois,Richland,7,3,8,3,3,50,38,82,31
17187,Illinois,Warren,7,3,8,3,3,52,0,84,32
17185,Illinois,Wabash,7,3,8,3,3,53,10,78,33
17181,Illinois,Union,7,3,8,3,3,56,0,68,34
17127,Illinois,Massac,7,3,8,3,3,64,15,73,35
17017,Illinois,Cass,7,3,8,3,3,78,6,80,36
17085,Illinois,Jo Daviess,7,4,8,3,3,34,10,84,37
17189,Illinois,Washington,7,4,8,3,3,36,10,80,38
17041,Illinois,Douglas,7,4,8,3,3,40,7,76,39
17015,Illinois,Carroll,7,4,8,3,3,44,0,83,40
17123,Illinois,Marshall,7,4,8,3,3,45,6,81,41
17057,Illinois,Fulton,7,4,8,3,3,49,9,80,42
17157,Illinois,Randolph,7,4,8,3,3,50,6,80,43
17083,Illinois,Jersey,7,4,8,3,4,43,10,79,44
17079,Illinois,Jasper,7,4,8,4,3,40,20,82,45
17027,Illinois,Clinton,7,4,10,3,3,35,20,81,46
17019,Illinois,Champaign,7,5,3,3,3,52,9,84,47
17203,Illinois,Woodford,7,5,8,3,3,26,4,86,48
17013,Illinois,Calhoun,7,5,8,4,3,38,10,73,49
17133,Illinois,Monroe,7,5,8,4,4,17,10,87,50
17105,Illinois,Livingston,7,6,6,3,3,42,10,81,51
17161,Illinois,Rock Island,7,6,7,3,3,59,12,85,52
17103,Illinois,Lee,7,6,8,3,2,46,8,80,53
17165,Illinois,Saline,7,6,8,3,2,58,16,73,54
